target,targetTxHash,targetTxGasPrice,targetTxGasAmount,estimatedNetProfit,estimatedGrossProfit,ourTxHash,ourTxGasPrice,ourTxGasAmount,actualGrossProfit,actualNetProfit,gasCost
"0x9B4F8Aec9Ba10e01E9ab65dFB5af2c4d4bA6b86b","0x6053ba4e01dcad59f7de26d5c14ee0269d2370358598a30bf34173a4441f5ca2","608085687100","2000000",27.68056778568037,28.089680441885314,"0x60ebcd20930fee88178cd456a166b847a4b2b8d161b2b31868dca06fe67a1615","631085687100","67035",0,-0.0423048290347485,67035
"0x9B6EB7DD4fa6e69C5EcCD84a0424905E0576e0DD","0x09032ad837d1a04a9b639a43861fc664aa91351f1f154471d89e709a4e349200","191121679156","907821",1.308898571577318,1.4373047731070212,"0x9c5a87df21de5dc51ec0f57700feb58cd5b8aa9801ed5084e625eb4918c3cbfd","280265927519","1049226",1.4373047731070212,1.143242475039971,1049226
"0x529179319E86784D4ae6988A7c2e213054f789D1","0xaaef31f648eba2492f1f85e1b86934d47c4b345df23d98f15847cf33ce7117b6","376475000000","468800",1.1218106488747712,1.2122146376997711,"0xfa060087ccbf012f02fc4bbbc53314ad8e4037ad48f955c58cef03eb42fe4d57","399475000000","620189",0,-0.247750000775,620189
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0xd790576b51d26d42cf8fcbc6d7203fb69d289f6a7038e4cda7960ea5e1cf2266","2041770000000","2000000",31.587547406416633,34.944638366486636,"0xafc5ed9b14da2686137a17d51449cf7df99987e90a78f0eee07df7ad79383e44","2064770000000","145889",0,-0.30122723053,145889
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0xc571846da7890b91f93fcd84444a214c9a3a69da288837598e3205bb81865553","1957140000000","2000000",53.194588947022346,56.482286674062344,"0x522912b62bb6c39846c24a3dca0b2546d1a1ec1098071f11d7f3c2faf0b5cf7e","1980140000000","439240",0,-0.8697566936,439240
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0xfb9ff6d721341dcb3e723aa7b1358912f970fc3d59b6101072d4d0000274c24f","1885670000000","2000000",50.68014267549608,53.236361420386075,"0xe8b845543a23da12e9b35b3bf1220839cbeb34fedb25fbd413017e37a4307fbc","1908670000000","145889",0,-0.27845395763,145889
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0xf6e02ad95f41e4b858cf4dc8c3bd4b05ce4a0f91c10fc186eef085a31652bfea","1929250000000","2000000",28.44757375151589,31.049911288015892,"0xceae7d3fdc04ed0c0c030d5e5c33e3ff4a0b90b4e42989ac6c0b4f73443274a1","1952250000000","145889",0,-0.28481180025,145889
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0x3289188d0858ceddc5c8076bf247db8687698780d8c344f7ad27a79b1e112646","2533020000000","2000000",236.1341583434503,240.35443874973032,"0x6b7633e1e1a604d2d5f068207b87e2bfbba9b628d680fd724036138b4c181b1c","2556020000000","1940855",225.145794720656,220.184930523556,1940855
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0x7a20eb9aed1bc5200d125e734bf5edf1c3fc851cc13ac71ef960102bf75a8d91","1930390000000","2000000",37.148512303185946,40.154271631785946,"0x4eedb7619c1ec94ef465c2b5d819fc6b39f202cbfac040ae3e296f0da428bb18","1953390000000","148689",0,-0.29044760571,148689
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0x3883636b46205a44aa5c7286eff931c4dc16b847721baa4df0bddee2b2a95b40","1786830000000","2000000",16.145176949711658,18.958014735711657,"0xe4c9a2ce7974b7add5732704fd037720cda3d21a8ee565f56156b7cd5cc87cd6","1809830000000","448356",0,-0.81144813948,448356
"0x118938bA9D09051a5dC33036317017Acf7EeA67A","0x63839662e40a4248c9ad8575173b626f178aca50519629ab3731163bb2f312d4","1714120000000","2000000",70.78186299816818,73.44107408808817,"0x05fa6999a5bdaaa8b5128e3689fc60f0a7e12ca0656bd41b9d62b18d81cab46c","1737120000000","148701",0,-0.25831148112,148701
"0x14cDf784203CB0a181B79DB9cF9B8af68806d774","0xb80886c255d24d04a8e7a98b0c4e9d4793b550d14fa26f2f42e3cc920d139536","1907680000000","2000000",49.96867904758433,53.11413904222434,"0xf7daf5abda95995e65cab337ad6c552417b29904051aa5b7d5f31c79e259e3a9","1930680000000","148689",0,-0.28707087852,148689
"0x118938bA9D09051a5dC33036317017Acf7EeA67A","0x5d57bb16e0e0065cc129852b976b3883dc2cb94e2d0b39988aa379bdb0260e81","1719940000000","2000000",64.63402360149357,66.98680610691356,"0x79ebac10d86ba229ab624d71ef53c3597b39dc56aa10eee72087ce360186c918","1742940000000","148701",0,-0.25917692094,148701
"0xa90a7AB10d238B9BA1E0Bd14464Dfa172aAD0e98","0x90f9570689c3e8272c7378bdfeb6e11d368ab9db97126d0d2368ddf47cb73e73","348399035858","2000000",25.64695703760669,25.912117007858473,"0xbc7cdb31aee3edb5004373230978312eab0cd8990e090c7056949062c8e6c35c","371399035858","67023",0,-0.024892277580310734,67023
"0x118938bA9D09051a5dC33036317017Acf7EeA67A","0x58164fd2c9fed21618f3c753557b65168c6b7936a2a6897989b3f08023b271fd","1746710000000","2000000",29.232477085336754,31.295309461766752,"0x3fa8ba5fb15c64bdba9d8e859db1d73115efc3490193733dec67546646679323","1769710000000","158959",0,-0.28131133189,158959
