target,targetTxHash,targetTxGasPrice,targetTxGasAmount,estimatedNetProfit,estimatedGrossProfit,ourTxHash,ourTxGasPrice,ourTxGasAmount,actualGrossProfit,actualNetProfit,gasCost
"0xB03e72A017716c39DA0f73DC81E5b2c022FF5432","0xf3de6d12da5ddb789a8e24b766a238f8c36e46c11b52df9340450de54d67e7a6","3715030006007","2000000",2650.1848247167527,2653.5928614338295,"0x7dac9ab9891238a29fd5c16db5edaf8920f436a23f9184d9b339cdcf67d89911","3738030006007","66654",0,-0.24915465202039058,66654
"0x1c9571eB66ded0690f424bb2E71B2f6caeeFf006","0x8e7a9c39aeaffc8c34c5ad1d390d7ec5aea58695f0eb86fb47931181aece8cd5","196425185667","3549807",0.753020354693095,1.2664702423746048,"0xb1c71f60a468649644f4f55adff0bc2dc219e9644af7dc8bd66189d112c475fa","219425185667","2637537",1.2664702423746048,0.6877281964460226,2637537
"0x6519c1F9C88C4A53f74BEA94B9C9B1b6B2E41FF7","0xa11e5a72d87217ad1120685f2c5b57eb5127cdb117c956e7a5236b068344ee90","167564468428","3000000",26.524168769908048,26.700535804309226,"0x207eb5d4676c3bc0675fbcb625d9509495923aa74ceeb58e98f5b48baa203833","190564468428","66824",0,-0.012734280038232673,66824
"0x0AeaC6D1424EA6d0F87123A50CA5eEc9f16108c5","0x6352283e4cd6b9c39feee303b9c44ce65345cc356769448b6717a2366d186543","91870726294","34143",8.436219474367109,8.438341596164664,"0xa013200ae962f251987f0df174ae63f5d9b307ffb3ab577c50b1f15fd1aab9a4","114870726294","48195",0,-0.00553619465373933,48195
"0x01c98663bdb09C03627C69C8663F66e7d0829e1B","0x4b4d042fd1d19d139035338ddf021f510dc9061516a086ff17076012cad73da6","799459952384","2000000",211.43219282298722,211.91446195510645,"0x3e1276a06a0ebacb9039b8b6843ecb8dfb5cc42b125f0325164ad6eeaf4b4fc6","822459952384","66693",0,-0.05485232160434611,66693
"0xEC7346269E371C79f59f68B584D887ebC0d519F0","0xbc89f0aa1a2d6ced18e68ef81b47c2eda7df3c22237a080e707983b132ef0b4d","151130366811","721321",0.08749419587304609,0.2,"0xbd76a30c9bad4c851c5a6d44ba84955f515e8f937c70f1f45a08f76a067ee6a2","174130366811","57416",0,-0.009997869140820376,57416
"0xa90a7AB10d238B9BA1E0Bd14464Dfa172aAD0e98","0xd20c67162672732fac144cb2b0d5d3cf111ed5c5dff8ad58456872c3558541b2","533523346609","2000000",444.1573987556222,444.6027888421001,"0x7f2333046fc5bb0ca41716141404f1ae8e0a53f7e6cbb6605948df8188fc21e5","556523346609","67106",0,-0.037346055697543554,67106
"0x533D58941a578C9c029d44a9b498CFd4ADdf8293","0x00651cb078799ab7c45eaa2081063e25bb408776bb2a023d447479ae01603b5a","852630659370","2000000",173.719313895149,174.3723627434298,"0x05e0c4ed17ecf4f0d0f6889e93f193c2b9c5c14777426d7bf51af9d44674623b","875630659370","67118",0,-0.05877057859559566,67118
"0x6c29e14B2595c47E8597FCbB4CF548023b7b6bA9","0xbef4d10c9518156f8f78ad4e1b6a65cf353252d3a66fd9df403bed277d05713c","738406771434","2000000",17.12395611985393,17.810528026757538,"0x899f26de1c0b400a83df5e050ccfcdc6c1911e29f76c28450a33f97f453d4896","761406771434","67158",0,-0.05113455595596457,67158
"0xa35B62510C0F700155634c772ED4d43408965115","0xf217f8a638dedfe2ce615fe60dffcbd3135f01e16273b9dd9e9d3e253299b292","1736116193734","2000000",40.06126023746199,40.695608091619626,"0x2b8880a14ed2cb4fbf6678acbda8ae3cfd1c2cef052f43fe968b0c84f082d9ca","1759116193734","325288",0,-0.5722193884273454,325288
